id,label,formids,users,roles,sortby,name,phone1,phone2,last_call,num_calls,next_call,callback_time
101,101,phone_survey_mobilzer_form,mobilizer,,,Erasmo Van Veen,(742) 770-4633,,,,,
102,102,phone_survey_mobilzer_form,mobilizer,,,Praskovya McKinley,(842) 968-3529,(474) 485-7067,,,,
103,103,phone_survey_mobilzer_form,mobilizer,,,Vivian Mata,(922) 985-4476,(635) 650-2817,,,,
104,104,phone_survey_mobilzer_form,mobilizer,,,Kohinoor Jin,(650) 897-4293,,,,,
105,105,phone_survey_mobilzer_form,mobilizer,,,Blagun Varano,(806) 340-8236,,,,,
106,106,phone_survey_mobilzer_form,mobilizer,,,Javed Picasso,(673) 478-0852,,,,,
107,107,phone_survey_mobilzer_form,mobilizer,,,René Milošević,(971) 455-2054,,,,,
108,108,phone_survey_mobilzer_form,mobilizer,,,Uršula Emerson,(719) 726-3161,(240) 739-2665,,,,
109,109,phone_survey_mobilzer_form,mobilizer,,,Afonso Dreesen,(225) 451-8864,(356) 706-0662,,,,
110,110,phone_survey_mobilzer_form,mobilizer,,,Tiriaq Scheer,(935) 643-6340,,,,,
111,111,phone_survey_mobilzer_form,mobilizer,,,Uiara Shepherd,(838) 986-7129,(306) 830-8320,,,,
112,112,phone_survey_mobilzer_form,mobilizer,,,Yanka Souza,(557) 392-7371,,,,,
113,113,phone_survey_mobilzer_form,mobilizer,,,Eider Rosa,(330) 739-1947,(509) 882-0497,,,,
114,114,phone_survey_mobilzer_form,mobilizer,,,Reinald Colbert,(994) 895-8204,(811) 237-2454,,,,
115,115,phone_survey_mobilzer_form,mobilizer,,,Anoushka Nikolajsen,(748) 606-3261,(558) 947-3881,,,,
116,116,phone_survey_mobilzer_form,mobilizer,,,Thyra Brunetti,(976) 738-7406,,,,,
117,117,phone_survey_mobilzer_form,mobilizer,,,Ingvar Radić,(592) 914-2658,,,,,
118,118,phone_survey_mobilzer_form,mobilizer,,,Azubuike Sokolov,(938) 272-9805,,,,,
119,119,phone_survey_mobilzer_form,mobilizer,,,Marija Pozzi,(753) 358-7494,,,,,
120,120,phone_survey_mobilzer_form,mobilizer,,,Mirja Mohammed,(846) 362-6712,(585) 467-2987,,,,
