id,name,formids,users,phone1,phone2,last_call,num_calls,callback_time,next_call,label,roles,sortby
101,Erasmo Van Veen,phone_survey_mobilzer_form,mobilizer,(742) 770-4633,,,,,,101,,
102,Praskovya McKinley,phone_survey_mobilzer_form,mobilizer,(842) 968-3529,(474) 485-7067,,,,,102,,
103,Vivian Mata,phone_survey_mobilzer_form,mobilizer,(922) 985-4476,(635) 650-2817,,,,,103,,
104,Kohinoor Jin,phone_survey_mobilzer_form,mobilizer,(650) 897-4293,,,,,,104,,
105,Blagun Varano,phone_survey_mobilzer_form,mobilizer,(806) 340-8236,,,,,,105,,
106,Javed Picasso,phone_survey_mobilzer_form,mobilizer,(673) 478-0852,,,,,,106,,
107,René Milošević,phone_survey_mobilzer_form,mobilizer,(971) 455-2054,,,,,,107,,
108,Uršula Emerson,phone_survey_mobilzer_form,mobilizer,(719) 726-3161,(240) 739-2665,,,,,108,,
109,Afonso Dreesen,phone_survey_mobilzer_form,mobilizer,(225) 451-8864,(356) 706-0662,,,,,109,,
110,Tiriaq Scheer,phone_survey_mobilzer_form,mobilizer,(935) 643-6340,,,,,,110,,
111,Uiara Shepherd,phone_survey_mobilzer_form,mobilizer,(838) 986-7129,(306) 830-8320,,,,,111,,
112,Yanka Souza,phone_survey_mobilzer_form,mobilizer,(557) 392-7371,,,,,,112,,
113,Eider Rosa,phone_survey_mobilzer_form,mobilizer,(330) 739-1947,(509) 882-0497,,,,,113,,
114,Reinald Colbert,phone_survey_mobilzer_form,mobilizer,(994) 895-8204,(811) 237-2454,,,,,114,,
115,Anoushka Nikolajsen,phone_survey_mobilzer_form,mobilizer,(748) 606-3261,(558) 947-3881,,,,,115,,
116,Thyra Brunetti,phone_survey_mobilzer_form,mobilizer,(976) 738-7406,,,,,,116,,
117,Ingvar Radić,phone_survey_mobilzer_form,mobilizer,(592) 914-2658,,,,,,117,,
118,Azubuike Sokolov,phone_survey_mobilzer_form,mobilizer,(938) 272-9805,,,,,,118,,
119,Marija Pozzi,phone_survey_mobilzer_form,mobilizer,(753) 358-7494,,,,,,119,,
120,Mirja Mohammed,phone_survey_mobilzer_form,mobilizer,(846) 362-6712,(585) 467-2987,,,,,120,,
